1,  1, 10,  4
2, 10, 13,  4
3, 10, 11, 13
4, 11, 12, 13
5, 11,  2, 12
6,  2,  3, 12
7,  5, 14, 35
8, 14, 82, 35
9, 14, 15, 82
10, 15, 83, 82
11, 15,  6, 83
12,  6, 16, 83
13, 35, 82, 34
14, 82, 84, 34
15, 82, 83, 84
16, 83, 85, 84
17, 83, 16, 85
18, 16, 17, 85
19, 34, 84, 33
20, 84, 86, 33
21, 84, 85, 86
22, 85, 87, 86
23, 85, 17, 87
24, 17, 18, 87
25, 33, 86, 32
26, 86, 88, 32
27, 86, 87, 88
28, 87, 89, 88
29, 87, 18, 89
30, 18, 19, 89
31, 32, 88, 31
32, 88, 90, 31
33, 88, 89, 90
34, 89, 91, 90
35, 89, 19, 91
36, 19, 20, 91
37, 31, 90, 30
38, 90, 92, 30
39, 90, 91, 92
40, 91, 93, 92
41, 91, 20, 93
42, 20, 21, 93
43, 30, 92, 29
44, 92, 94, 29
45, 92, 93, 94
46, 93, 95, 94
47, 93, 21, 95
48, 21, 22, 95
49, 29, 94, 28
50, 94, 96, 28
51, 94, 95, 96
52, 95, 97, 96
53, 95, 22, 97
54, 22, 23, 97
55, 28, 96, 27
56, 96, 98, 27
57, 96, 97, 98
58, 97, 99, 98
59, 97, 23, 99
60, 23, 24, 99
61, 27, 98,  8
62, 98, 26,  8
63, 98, 99, 26
64, 99, 25, 26
65, 99, 24, 25
66, 24,  7, 25
67, 137,  75,  76
68, 119,  74, 118
69, 176, 175, 128
70, 115,   1,  66
71, 122, 120,  72
72, 170, 141, 120
73, 106, 102,  41
74, 138,  54, 117
75, 139,  53, 138
76, 109,  48,  49
77, 176, 130, 163
78, 141,  70,  71
79, 210, 201, 177
80, 141,  71, 120
81, 122,  73, 119
82, 153, 107, 108
83, 108, 107,  44
84, 111,  46,  47
85, 160, 138, 117
86, 109,  49,  50
87,  49,   9,  50
88, 109, 104,  48
89, 233, 218, 175
90, 154, 148, 101
91, 140,  56,  57
92, 190, 153, 148
93, 179, 137, 159
94, 133,  61, 131
95, 177, 129, 162
96, 123,  69, 121
97, 124,  68, 123
98, 134, 129,  63
99, 162, 129, 134
100, 136,  67, 124
101, 114,  11,  10
102, 135, 134,  64
103, 116,   2,  11
104, 137,  76, 125
105, 126,  77,  78
106, 102,  40,  41
107, 110,  40, 102
108, 126, 125,  77
109, 245, 230, 223
110, 230, 197, 196
111, 158, 142,  79
112, 158,  80, 127
113, 100,  36,  37
114, 145, 100, 105
115, 113,  36, 100
116, 144,   5, 113
117, 144, 127, 143
118, 144, 143,  14
